# h/a,X_tt,Y_tt
0.70700000,8.00241644,4.00120822
0.70800000,7.97982663,3.98991332
0.70900000,7.95733288,3.97866644
0.71000000,7.93493408,3.96746704
0.71100000,7.91262806,3.95631403
0.71200000,7.89041813,3.94520906
0.71300000,7.86829993,3.93414996
0.71400000,7.84627620,3.92313810
0.71500000,7.82434371,3.91217186
0.71600000,7.80250251,3.90125125
0.71700000,7.78075420,3.89037710
0.71800000,7.75909615,3.87954808
0.71900000,7.73752786,3.86876393
0.72000000,7.71604936,3.85802468
0.72100000,7.69466015,3.84733007
0.72200000,7.67336076,3.83668038
0.72300000,7.65214916,3.82607458
0.72400000,7.63102588,3.81551294
0.72500000,7.60998739,3.80499369
0.72600000,7.58903829,3.79451915
0.72700000,7.56817556,3.78408778
0.72800000,7.54739772,3.77369886
0.72900000,7.52670631,3.76335315
0.73000000,7.50609836,3.75304918
0.73100000,7.48557640,3.74278820
0.73200000,7.46513797,3.73256899
0.73300000,7.44478361,3.72239181
0.73400000,7.42451139,3.71225570
0.73500000,7.40432185,3.70216093
0.73600000,7.38421549,3.69210775
0.73700000,7.36419138,3.68209569
0.73800000,7.34424763,3.67212382
0.73900000,7.32438337,3.66219168
0.74000000,7.30460145,3.65230072
0.74100000,7.28490001,3.64245000
0.74200000,7.26527722,3.63263861
0.74300000,7.24573406,3.62286703
0.74400000,7.22626917,3.61313458
0.74500000,7.20688305,3.60344152
