# h/a,X_tt,Y_tt
0.49400000,14.25368693,4.77782112
0.49500000,14.20183494,4.76251203
0.49600000,14.15029820,4.74729796
0.49700000,14.09903993,4.73216860
0.49800000,14.04810491,4.71713576
0.49900000,13.99748327,4.70219735
0.50000000,13.94715172,4.68734670
0.50100000,13.89710879,4.67258190
0.50200000,13.84737320,4.65791095
0.50300000,13.79789875,4.64331671
0.50400000,13.74874172,4.62882041
0.50500000,13.69987194,4.61440873
0.50600000,13.65129026,4.60008392
0.50700000,13.60298615,4.58584370
0.50800000,13.55496541,4.57168845
0.50900000,13.50722087,4.55761557
0.51000000,13.45973675,4.54362073
0.51100000,13.41254111,4.52971410
0.51200000,13.36562668,4.51589197
0.51300000,13.31897390,4.50214754
0.51400000,13.27260083,4.48848794
0.51500000,13.22648199,4.47490464
0.51600000,13.18063832,4.46140331
0.51700000,13.13503412,4.44797556
0.51800000,13.08970229,4.43462874
0.51900000,13.04463150,4.42136007
0.52000000,12.99982552,4.40817227
0.52100000,12.95527179,4.39505849
0.52200000,12.91096680,4.38202082
0.52300000,12.86691440,4.36905894
0.52400000,12.82308943,4.35616485
0.52500000,12.77953905,4.34335392
0.52600000,12.73622511,4.33061418
0.52700000,12.69315853,4.31794863
0.52800000,12.65033165,4.30535531
0.52900000,12.60774118,4.29283233
0.53000000,12.56539633,4.28038360
0.53100000,12.52326477,4.26799982
0.53200000,12.48139428,4.25569353
0.53300000,12.43974851,4.24345517
0.53400000,12.39833656,4.23128667
0.53500000,12.35715652,4.21918776
0.53600000,12.31618521,4.20715195
0.53700000,12.27545692,4.19518955
0.53800000,12.23494850,4.18329222
0.53900000,12.19466869,4.17146431
0.54000000,12.15461562,4.15970493
0.54100000,12.11477327,4.14800803
0.54200000,12.07515800,4.13637913
0.54300000,12.03572848,4.12480779
0.54400000,11.99654553,4.11330873
0.54500000,11.95756792,4.10187213
0.54600000,11.91881036,4.09050130
0.54700000,11.88025615,4.07919275
0.54800000,11.84191610,4.06794656
0.54900000,11.80377625,4.05676163
0.55000000,11.76583267,4.04563516
0.55100000,11.72810932,4.03457585
0.55200000,11.69058871,4.02357655
0.55300000,11.65326806,4.01263763
0.55400000,11.61615296,4.00175943
0.55500000,11.57922881,3.99094006
0.55600000,11.54251059,3.98018125
0.55700000,11.50596175,3.96947449
0.55800000,11.46964018,3.95883508
0.55900000,11.43350130,3.94825118
0.56000000,11.39755866,3.93772590
0.56100000,11.36180277,3.92725632
0.56200000,11.32623561,3.91684496
0.56300000,11.29084344,3.90648463
0.56400000,11.25565509,3.89618510
0.56500000,11.22064781,3.88594106
0.56600000,11.18583455,3.87575523
0.56700000,11.15119408,3.86562082
0.56800000,11.11673496,3.85554084
0.56900000,11.08244610,3.84551303
0.57000000,11.04835098,3.83554241
0.57100000,11.01443731,3.82562619
0.57200000,10.98070051,3.81576265
0.57300000,10.94713399,3.80595085
0.57400000,10.91375010,3.79619394
0.57500000,10.88052972,3.78648541
0.57600000,10.84747172,3.77682617
0.57700000,10.81459961,3.76722380
0.57800000,10.78189960,3.75767088
0.57900000,10.74936226,3.74816826
0.58000000,10.71699450,3.73871628
0.58100000,10.68479203,3.72931405
0.58200000,10.65275859,3.71996264
0.58300000,10.62087407,3.71065510
0.58400000,10.58916608,3.70140076
0.58500000,10.55761749,3.69219485
0.58600000,10.52623591,3.68303892
0.58700000,10.49500842,3.67392922
0.58800000,10.46394357,3.66486755
0.58900000,10.43303437,3.65585328
0.59000000,10.40226829,3.64688255
0.59100000,10.37167086,3.63796177
0.59200000,10.34123412,3.62908962
0.59300000,10.31094284,3.62025926
0.59400000,10.28080716,3.61147794
0.59500000,10.25081023,3.60273685
0.59600000,10.22097684,3.59404567
0.59700000,10.19129380,3.58539926
0.59800000,10.16175728,3.57679705
0.59900000,10.13237436,3.56824049
0.60000000,10.10313399,3.55972721
0.60100000,10.07404231,3.55125801
0.60200000,10.04508136,3.54282768
0.60300000,10.01626973,3.53444321
0.60400000,9.98760976,3.52610401
0.60500000,9.95908809,3.51780493
0.60600000,9.93071068,3.50955044
0.60700000,9.90247042,3.50133676
0.60800000,9.87437236,3.49316615
0.60900000,9.84639244,3.48503059
0.61000000,9.81857150,3.47694240
0.61100000,9.79088124,3.46889377
0.61200000,9.76333418,3.46088820
0.61300000,9.73591423,3.45292118
0.61400000,9.70863629,3.44499596
0.61500000,9.68148445,3.43710849
0.61600000,9.65445869,3.42925912
0.61700000,9.62756956,3.42145065
0.61800000,9.60081766,3.41368360
0.61900000,9.57419391,3.40595540
0.62000000,9.54769980,3.39826515
0.62100000,9.52133202,3.39061318
0.62200000,9.49509129,3.38299921
0.62300000,9.46896252,3.37541896
0.62400000,9.44297638,3.36788137
0.62500000,9.41711147,3.36038014
0.62600000,9.39137547,3.35291738
0.62700000,9.36575974,3.34549163
0.62800000,9.34025810,3.33809869
0.62900000,9.31488809,3.33074615
0.63000000,9.28964266,3.32343097
0.63100000,9.26451035,3.31614862
0.63200000,9.23950316,3.30890503
0.63300000,9.21461273,3.30169570
0.63400000,9.18984121,3.29452344
0.63500000,9.16517598,3.28738112
0.63600000,9.14063913,3.28027840
0.63700000,9.11622164,3.27321119
0.63800000,9.09191176,3.26617587
0.63900000,9.06772325,3.25917744
0.64000000,9.04364731,3.25221265
0.64100000,9.01968602,3.24528200
0.64200000,8.99581799,3.23838009
0.64300000,8.97207877,3.23151628
0.64400000,8.94845537,3.22468661
0.64500000,8.92493577,3.21788902
0.64600000,8.90152975,3.21112474
0.64700000,8.87823026,3.20439280
0.64800000,8.85504141,3.19769477
0.64900000,8.83194667,3.19102361
0.65000000,8.80897209,3.18438877
0.65100000,8.78610588,3.17778679
0.65200000,8.76334460,3.17121636
0.65300000,8.74068752,3.16467621
0.65400000,8.71813530,3.15816858
0.65500000,8.69568787,3.15169185
0.65600000,8.67333197,3.14524371
0.65700000,8.65108940,3.13882778
0.65800000,8.62895410,3.13244452
0.65900000,8.60691747,3.12609129
0.66000000,8.58497887,3.11976685
0.66100000,8.56313382,3.11347135
0.66200000,8.54139517,3.10720731
0.66300000,8.51976024,3.10097350
0.66400000,8.49822069,3.09476935
